model_key,model_name,model_path,accuracy,precision,recall,f1
log_reg,Logistic Regression,/Users/lissaleblancmoriniere/ml-poc-project/models/log_reg.joblib,0.9952305246422893,1.0,0.9866666666666667,0.9932885906040269
random_forest,Random Forest,/Users/lissaleblancmoriniere/ml-poc-project/models/random_forest.joblib,1.0,1.0,1.0,1.0
